7 Faces of Dr. Lao,1964
7th Heaven,1927
8 Mile,
12 Years a Slave,2013
E.T.: The Extra-Terrestrial,1982
Fanny & Alexander ,1983
Flamenco at 5:15,1983
Great (Great ,1975
Thelma & Louise,1991
Being There,1979
Belle Époque,1993
The Bells of St. Mary's,1945
Ben-Hur,1959
"Yesterday, Today and Tomorrow",1963
